id,ticker symbol,security,sec filings,gics sector,gics sub industry,address of headquarters,date first added,cik
"146","DLTR","Dollar Tree","reports","Consumer Discretionary","General Merchandise Stores","Chesapeake, Virginia","2011-12-19","935703"
"147","D","Dominion Resources","reports","Utilities","Electric Utilities","Richmond, Virginia","0000-00-00","715957"
"148","DOV","Dover Corp.","reports","Industrials","Industrial Machinery","Downers Grove, Illinois","1985-10-31","29905"
"149","DOW","Dow Chemical","reports","Materials","Diversified Chemicals","Midland, Michigan","0000-00-00","29915"
"150","DPS","Dr Pepper Snapple Group","reports","Consumer Staples","Soft Drinks","Plano, Texas","2008-10-07","1418135"
"151","DTE","DTE Energy Co.","reports","Utilities","MultiUtilities","Detroit, Michigan","0000-00-00","936340"
"152","DD","Du Pont (E.I.)","reports","Materials","Diversified Chemicals","Wilmington, Delaware","0000-00-00","30554"
"153","DUK","Duke Energy","reports","Utilities","Electric Utilities","Charlotte, North Carolina","1976-06-30","1326160"
"154","DNB","Dun & Bradstreet","reports","Industrials","Research & Consulting Services","Short Hills, New Jersey","2008-12-02","1115222"
"155","ETFC","E*Trade","reports","Financials","Investment Banking & Brokerage","New York, New York","2004-03-31","1015780"
"156","EMN","Eastman Chemical","reports","Materials","Diversified Chemicals","Kingsport, Tennessee","1994-01-01","915389"
"157","ETN","Eaton Corporation","reports","Industrials","Industrial Conglomerates","Dublin, Ireland","0000-00-00","1551182"
"158","EBAY","eBay Inc.","reports","Information Technology","Internet Software & Services","San Jose, California","0000-00-00","1065088"
"159","ECL","Ecolab Inc.","reports","Materials","Specialty Chemicals","St. Paul, Minnesota","1989-01-31","31462"
"160","EIX","Edison Int'l","reports","Utilities","Electric Utilities","Rosemead, California","0000-00-00","827052"
"161","EW","Edwards Lifesciences","reports","Health Care","Health Care Equipment","Irvine, California","2011-04-01","1099800"
"162","EA","Electronic Arts","reports","Information Technology","Home Entertainment Software","Redwood City, California","0000-00-00","712515"
"163","EMR","Emerson Electric Company","reports","Industrials","Industrial Conglomerates","Ferguson, Missouri","1965-03-31","32604"
"164","ENDP","Endo International","reports","Health Care","Pharmaceuticals","Dublin, Ireland","2015-01-27","1100962"
"165","ETR","Entergy Corp.","reports","Utilities","Electric Utilities","New Orleans, Louisiana","0000-00-00","65984"
"166","EVHC","Envision Healthcare Corp","reports","Health Care","Health Care Services","Nashville, Tennessee","2016-12-02","895930"
"167","EOG","EOG Resources","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","0000-00-00","821189"
"168","EQT","EQT Corporation","reports","Energy","Oil & Gas Exploration & Production","Pittsburgh, Pennsylvania","2008-12-19","33213"
"169","EFX","Equifax Inc.","reports","Industrials","Research & Consulting Services","Atlanta, Georgia","0000-00-00","33185"
"170","EQIX","Equinix","reports","Real Estate","REITs","Redwood City, California","2015-03-20","1101239"
"171","EQR","Equity Residential","reports","Real Estate","REITs","Chicago, Illinois","0000-00-00","906107"
"172","ESS","Essex Property Trust, Inc.","reports","Real Estate","Residential REITs","Palo Alto, California","2014-04-02","920522"
